ID	NAME	SECONDARY ID	FORMULA	MASS	SMILES	PDB ACCESSION
CHEBI:20674	5beta-pregnane		C21H36	288.51054	[H][C@]1(CC)CC[C@@]2([H])[C@]3([H])CC[C@]4([H])CCCC[C@]4(C)[C@@]3([H])CC[C@]12C		
CHEBI:20675	5beta-spirostan		C27H44O2	400.63706	[H][C@@]12CCCC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(C[C@]4([H])O[C@]5(CCC(C)CO5)[C@@H](C)[C@]34[H])[C@]1([H])CC2		
CHEBI:20676	5beta-stigmastane		C29H52	400.72318	[H][C@@]12CCCC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])CC2)[C@H](C)CC[C@@H](CC)C(C)C		
CHEBI:20747	6-oxocampestanol		C28H48O2	416.67952	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC(=O)[C@@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](C)C(C)C		
CHEBI:22542	androstane-3,17-dione		C19H28O2	288.42440	C[C@]12CC[C@H]3[C@@H](CCC4CC(=O)CC[C@]34C)[C@@H]1CCC2=O		
CHEBI:23966	estrane		C18H30	246.43080	[H][C@]12CCCCC1CC[C@]1([H])[C@]2([H])CC[C@]2(C)CCC[C@@]12[H]		
CHEBI:24130	furostan		C27H46O	386.65354	[H][C@]12C[C@@]3([H])[C@]4([H])CCC5CCCC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1([H])[C@H](C)C(CCC(C)C)O2		
CHEBI:24424	gorgostane		C30H52	412.73388	[H][C@@]12CCC3CCCC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@]([H])(CC[C@@]21[H])[C@H](C)[C@@]1([H])C[C@]1(C)[C@H](C)C(C)C		
CHEBI:26211	poriferastane		C29H52	400.72318	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4CCCC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@H](CC)C(C)C		
CHEBI:26711	sodium cholate		C24H39NaO5	430.55323	[Na+].[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])[C@H](O)C2)[C@H](C)CCC([O-])=O		
CHEBI:26745	spirostan		C27H44O2	400.63706	[H][C@]12C[C@@]3([H])[C@]4([H])CCC5CCCC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1([H])[C@H](C)[C@@]1(CCC(C)CO1)O2		
CHEBI:26773	stigmastane		C29H52	400.72318	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4CCCC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](CC)C(C)C		
CHEBI:27471	glycodeoxycholic acid	CHEBI:1686; CHEBI:5465; CHEBI:20208	C26H43NO5	449.624	C1[C@@]2([C@]3(C[C@@H]([C@]4([C@]([C@@]3(CC[C@@]2(C[C@@H](C1)O)[H])[H])(CC[C@@]4([C@@H](CCC(NCC(O)=O)=O)C)[H])[H])C)O)[H])C		
CHEBI:27634	5,6alpha-epoxy-5alpha-cholestane	CHEBI:2004; CHEBI:20517	C27H46O	386.65350	[H][C@@]1(CC[C@@]2([H])[C@]3([H])C[C@@H]4O[C@@]44CCCC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C		
CHEBI:27727	androstane-3,17-diol	CHEBI:2713; CHEBI:22544	C19H32O2	292.45618	[H][C@@]12CCC3CC(O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)C(O)CC[C@@]21[H]		
CHEBI:27965	conessine	CHEBI:3853; CHEBI:23369	C24H40N2; C24H40N2	356.58780	C[C@H]1[C@H]2CC[C@H]3[C@@H]4CC=C5C[C@H](CC[C@]5(C)[C@H]4CC[C@]23CN1C)N(C)C		
CHEBI:27974	estriol	CHEBI:42467; CHEBI:4869; CHEBI:23969	C18H24O3	288.38140	[H][C@]12CC[C@]3(C)[C@@H](O)[C@H](O)C[C@@]3([H])[C@]1([H])CCc1cc(O)ccc21		
CHEBI:28247	11beta-hydroxyprogesterone	CHEBI:737; CHEBI:19133	C21H30O3	330.46110	[H][C@@]12CCC3=CC(=O)CC[C@]3(C)[C@@]1([H])[C@@H](O)C[C@]1(C)[C@H](CC[C@@]21[H])C(C)=O		
CHEBI:28744	2-hydroxy-17beta-estradiol	CHEBI:42267; CHEBI:1155; CHEBI:19637	C18H24O3	288.38136	[H][C@]12CC[C@]3(C)[C@@H](O)CC[C@@]3([H])[C@]1([H])CCc1cc(O)c(O)cc21		
CHEBI:28818	(24R)-24,25-dihydroxycalciol	CHEBI:47128; CHEBI:9072; CHEBI:19806	C27H44O3	416.63646	[H][C@@]1(CC[C@]2([H])[C@]1(C)CCC\C2=C/C=C1/C[C@@H](O)CCC1=C)[C@H](C)CC[C@@H](O)C(C)(C)O		
CHEBI:28859	5alpha-androstane	CHEBI:20638; CHEBI:2712	C19H32	260.45738	[H][C@]12CCCC[C@]1(C)[C@@]1([H])CC[C@]3(C)CCC[C@@]3([H])[C@]1([H])CC2		
CHEBI:28934	vitamin D2	CHEBI:23937; CHEBI:10007	C28H44O	396.659	[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)\C=C\[C@H](C)C(C)C		
CHEBI:28955	2-methoxy-17beta-estradiol	CHEBI:42274; CHEBI:19675; CHEBI:1187	C19H26O3	302.40794	[H][C@]12CC[C@]3(C)[C@@H](O)CC[C@@]3([H])[C@]1([H])CCc1cc(O)c(OC)cc21		
CHEBI:29107	24-methylidenelophenol	CHEBI:1305; CHEBI:11664	C29H48O; C29H48O	412.702	C1[C@@]([C@@]2([C@@](C1)(C3=CC[C@@]4([H])[C@H](C)[C@@H](O)CC[C@]4(C)[C@]3(CC2)[H])[H])C)([C@H](C)CCC(=C)C(C)C)[H]		
CHEBI:31297	bolandiol dipropionate		C24H36O4	388.548	C[C@@]12[C@]([C@]3([C@](CC1)([C@@]4(C(CC3)=C[C@H](CC4)OC(CC)=O)[H])[H])[H])(CC[C@@H]2OC(CC)=O)[H]		
CHEBI:31578	ethylestrenol		C20H32O	288.46750	CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@]12C		
CHEBI:31580	ethynodiol diacetate		C24H32O4	384.50848	[H][C@]12CC[C@H](OC(C)=O)C=C1CC[C@]1([H])[C@]2([H])CC[C@@]2(C)[C@@]1([H])CC[C@@]2(OC(C)=O)C#C		
CHEBI:32223	tibolone		C21H28O2	312.44580	[H][C@]12CC[C@@]3(C)[C@@]([H])(CC[C@@]3(O)C#C)[C@]1([H])[C@H](C)CC1=C2CCC(=O)C1		
CHEBI:32709	6-dehydrotestosterone 17-glucosiduronic acid		C25H34O8	462.53266	[H][C@@]12CC[C@H](O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@]12C		
CHEBI:33237	vitamin D4		C28H46O	398.66424	[H][C@@]1(CC[C@]2([H])[C@]1(C)CCC\C2=C/C=C1/C[C@@H](O)CCC1=C)[C@H](C)CC[C@H](C)C(C)C		
CHEBI:33279	vitamin D5		C29H48O	412.69082	[H][C@@]1(CC[C@]2([H])[C@]1(C)CCC\C2=C/C=C1/C[C@@H](O)CCC1=C)[C@H](C)CC[C@@H](CC)C(C)C		
